Segment,Décalage (GHz),Pic observé (GHz),Pic modèle aligné (GHz),SAM,Ratio fréquence,Euclidean_distance
1,6.271999999880791,84423.801,84423.801,0.0,1.0,0.0
1,6.271999999880791,84521.284,84521.87,0.0,0.9999930668831629,0.5859999999956926
1,6.271999999880791,84744.187,84744.187,0.0,1.0,0.0
1,6.271999999880791,85568.01,85568.205,0.0,0.9999977211161551,0.19500000000698492
1,6.271999999880791,86615.517,86615.712,0.0,0.9999977486763604,0.194999999992433
1,6.271999999880791,86902.888,86903.083,0.0,0.9999977561210344,0.194999999992433
2,5.879999999888241,88594.88,88594.88,0.0,1.0,0.0
2,5.879999999888241,88940.076,88940.076,0.0,1.0,0.0
2,5.879999999888241,89505.636,89506.027,0.0,0.999995631579089,0.39100000000325963
4,38.10300000052666,94541.758,94541.954,0.0,0.9999979268463185,0.1959999999962747
4,38.10300000052666,94815.259,94815.259,0.0,1.0,0.0
4,38.10300000052666,95170.223,95170.028,0.0,1.000002048964407,0.194999999992433
4,38.10300000052666,95914.34,95914.731,0.0,0.9999959234624762,0.39100000000325963
5,5.879999999888241,96741.679,96742.07,0.0,0.9999959583250596,0.39100000000325963
5,5.879999999888241,96744.805,96745.196,0.0,0.9999959584556529,0.39100000000325963
5,5.879999999888241,96755.55,96755.94,0.0,0.999995969239718,0.3899999999994179
5,5.879999999888241,97582.889,97583.28,0.0,0.9999959931660424,0.39100000000325963
6,6.240000000223517,100638.867,100639.062,0.0,0.9999980623825766,0.19500000000698492
6,6.240000000223517,101293.314,101293.51,0.0,0.9999980650290429,0.1959999999962747
6,6.240000000223517,101469.722,101469.918,0.0,0.9999980683930383,0.19600000001082662
6,6.240000000223517,101737.167,101737.362,0.0,0.9999980833000173,0.194999999992433
6,6.240000000223517,102122.607,102122.803,0.0,0.9999980807420651,0.1959999999962747
6,6.240000000223517,102657.691,102658.668,0.0,0.9999904830247749,0.9769999999989523
7,6.044999999765423,103381.1,103381.296,0.0,0.9999981041057949,0.1959999999962747
7,6.044999999765423,104060.749,104060.749,0.0,1.0,0.0
7,6.044999999765423,104300.258,104300.453,0.0,0.999998130401217,0.194999999992433
7,6.044999999765423,104336.594,104336.789,0.0,0.9999981310523175,0.19500000000698492
7,6.044999999765423,104354.762,104354.958,0.0,0.9999981217950373,0.1959999999962747
7,6.044999999765423,104410.439,104410.635,0.0,0.9999981227965906,0.1959999999962747
7,6.044999999765423,105063.715,105063.91,0.0,0.9999981439868362,0.19500000000698492
7,6.044999999765423,105576.333,105576.528,0.0,0.9999981529985528,0.19500000000698492
8,14.858000000123866,107013.969,107014.555,0.0,0.9999945241093606,0.5859999999956926
8,14.858000000123866,107159.901,107160.096,0.0,0.9999981802927835,0.19500000000698492
8,14.858000000123866,108894.285,108894.481,0.0,0.9999982000924363,0.1959999999962747
9,23.45999999975902,109138.678,109138.873,0.0,0.9999982132855632,0.19500000000698492
9,23.45999999975902,109153.134,109153.329,0.0,0.9999982135221914,0.194999999992433
9,23.45999999975902,111289.369,111289.759,0.0,0.9999964956344276,0.3899999999994179
9,23.45999999975902,111626.36,111626.556,0.0,0.9999982441454165,0.1959999999962747
10,20.306000000069616,113408.998,113408.412,0.0,1.0000051671652013,0.5860000000102445
10,20.306000000069616,114650.886,114651.081,0.0,0.9999982991874276,0.19500000000698492
